토큰화,갯수
강압,18
통근,18
휴일,18
빡빡,18
공개,18
소위,18
배움,18
번복,18
쏘다,18
사생활,18
언론,18
통합,18
나라,18
핵인,18
구글,18
비대,18
타겟,18
일찍,18
코어,18
바라보다,18
파트,18
심다,17
장난,17
받아들이다,17
택배,17
깨다,17
별개,17
우리나라,17
선물,17
듭니,17
구내,17
젠틀,17
친하다,17
개방,17
노예,17
부러워하다,17
위키,17
장하다,17
인사이트,17
방치,17
개돼지,17
아이,17
마이,17
아마존,17
줄다,17
수익,17
뿐이다,17
머리,17
사시,17
소속,17
제발,17
대외,17
계시다,17
사소하다,17
상급자,17
공짜,17
공격,17
마음껏,17
마다,17
시간제,17
런가,17
포지션,17
건강검진,17
부정,17
접근성,16
달리다,16
읽다,16
숨다,16
텃세,16
플러스,16
세우다,16
지인,16
이어지다,16
끌다,16
끼다,16
학습,16
꼽자,16
초과,16
광고,16
강의,16
질문,16
일지,16
프로모션,16
로써,16
자가,16
이루다,16
불가능,16
어려워지다,16
이상은,16
교체,16
직구,16
드물다,16
여론,16
벗어나다,16
넘기다,16
중국,16
창업,16
스케줄,16
보딩,16
참고,16
기다리다,16
생존,16
그룹,16
쏠쏠하다,16
불안,16
흔하다,16
지침,16
잡고,16
직종,16
규정,16
시절,16
점차,16
가스,16
입지,16
공채,16
거지,16
지켜보다,16
의심,16
만하,16
체력,16
기르다,16
쓰기,16
모로,15
고통,15
진입,15
내일,15
탈출,15
매력,15
협조,15
식이,15
끝없다,15
운전,15
한참,15
갑작스럽다,15
구입,15
쿠친,15
사람과,15
상여금,15
여건,15
잘나다,15
다기,15
가득하다,15
과자,15
배달,15
형편,15
라이,15
분명,15
공정하다,15
국민,15
출근시간,15
게임,15
상이,15
초과수,15
시야,15
잘해주다,15
헤치다,15
근본,15
여기저기,15
웬만하다,15
만날,15
직책,15
센터,15
대면,15
난무,15
발견,15
요소,15
좌지우지,15
애자,15
띄다,15
하루하루,15
내년,15
쓴다,15
일어나다,15
지지,15
권력,15
복불복,15
진도,15
표방,15
스터디,15
근거,15
통보,15
상여,15
조율,15
대기,15
막상,15
예상,14
하니,14
매니지먼트,14
네임드,14
인색하다,14
향후,14
압도,14
완벽하다,14
협의,14
낭비,14
정자역,14
메뉴얼,14
쏟아지다,14
막강,14
무궁무진,14
리더쉽,14
단순,14
전문가,14
아지트,14
몰입,14
동일,14
안남,14
동일하다,14
리딩,14
원활하다,14
흑자,14
일주일,14
제때,14
나빠지다,14
슬프다,14
연속,14
캐릭터,14
부라,14
사공,14
부모,14
잘나가다,14
수용,14
명성,14
늦어지다,14
최소한,14
육아,14
실리콘밸리,14
무리하다,14
벌리다,14
추석,14
분석,14
난방,14
텐션,14
부터,14
전달,14
인격,14
가르다,14
빡시다,14
파워,14
박살,14
기대다,14
제라,14
길어지다,14
이어도,14
예쁘다,14
당장,14
여자,14
분당,14
정글,14
모으다,14
피해,14
흘러가다,14
수습,14
감시,14
일방,14
건가,14
남아,14
종일,14
프렌즈,14
감다,14
즐기다,14
불투명,14
객관,14
쿠폰,14
자르다,14
선호,14
확률,14
오늘,14
분배,14
꿈꾸다,13
다행,13
의료,13
이기주의,13
비개,13
배치,13
에너지,13
고과,13
착각,13
하나로,13
별다르다,13
점프,13
널다,13
새다,13
원금,13
최강,13
주차,13
믿음,13
라이더,13
부럽다,13
파견,13
성공,13
쿠키,13
사우,13
제도로,13
파티,13
육체,13
박봉,13
가이드라인,13
떠오르다,13
그만하다,13
고르다,13
협력,13
애매,13
맛없다,13
생겨나다,13
신속하다,13
움직임,13
법인,13
설득,13
관료,13
전통,13
레시,13
교환,13
패스,13
사자,13
무리,13
덕트,13
멈추다,13
디렉터,13
문제해결,13
바보,13
석식,13
완전하다,13
귀찮다,13
평준화,13
목적,13
검증,13
규제,13
익숙해지다,13
움직,13
승인,13
공동체,13
엎어지다,13
무관,13
선하다,13
그린팩토리,13
제품,13
올해,13
최고다,13
실장,13
기만,13
자동화,13
내내,13
유연성,13
익히다,13
가정,13
염전,13
여가,13
맡기다,13
뛰다,13
재택하,13
메인,13
빌런,13
자택,13
확실,13
간판,13
복지로,13
야간,13
즐거움,13
썩다,13
공지,13
분위,12
팀별,12
확보,12
붙다,12
달라짐,12
결론,12
연구,12
휴직,12
외치다,12
이지,12
비중,12
다치다,12
린지,12
지연,12
부속품,12
경조사,12
자괴,12
매뉴얼,12
접다,12
각오,12
얼굴,12
인도,12
전사,12
직전,12
이쁘다,12
자극받다,12
하위,12
제약,12
알아보다,12
전투,12
들어서다,12
연말,12
함정,12
그만두다,12
정직,12
사바,12
하락,12
자회사,12
심해,12
치이다,12
아마,12
왠만하다,12
시너지,12
견제,12
통일,12
어수선하다,12
유리하다,12
지방,12
주변인,12
어마어마하다,12
자존감,12
희망,12
금은,12
갈수,12
분담,12
먹거리,12
비례,12
개무시,12
구멍,12
중인,12
작고,12
흔들리다,12
반면,12
아깝다,12
푸다,12
치료,12
마케팅,12
어학,12
어른,12
스케일,12
실패하다,12
시각,12
그치다,12
섞이다,12
다그,12
실패,12
순환,12
독식,12
삽질,12
막다,12
궁금하다,12
바람,12
지하,11
평타,11
검색,11
분장,11
금융,11
수렴,11
지도,11
차라리,11
작성,11
밀리,11
내지,11
귀하다,11
홀로,11
로켓,11
구도,11
위계,11
반응,11
외국어,11
표현,11
요구사항,11
파격,11
잠깐,11
불리다,11
매다,11
무능,11
셔틀,11
국적,11
떠나가다,11
인도인,11
이탈,11
별도,11
우물,11
민감하다,11
실현,11
안전,11
손해,11
오락가락,11
커머스,11
은행,11
정립,11
현상,11
그러하다,11
어찌,11
몰아치다,11
덥다,11
집단,11
소모,11
쥬니어,11
해봤다,11
지하철,11
부딪히다,11
번역,11
가든,11
와중,11
대상,11
상품,11
낫다,11
짓다,11
개꿀,11
빨다,11
스테이지,11
우아하다,11
답변,11
사먹다,11
현저,11
무섭다,11
습득,11
하자,11
차지,11
공휴일,11
쫓기다,11
가득,11
몸집,11
자칫,11
지루하다,11
입김,11
논의,11
바텀업,11
켜다,11
두렵다,11
기록,11
중복,11
쪼이다,11
드리다,11
쥐꼬리,11
신생,11
밥값,11
로만,11
입다,11
소화,11
배정,11
라지,11
공장,11
회식비,11
외롭다,11
비정규직,11
와우,11
성실하다,11
엘베,11
드럽다,11
강점,11
전무,11
부추기다,10
영혼,10
결혼,10
멘탈,10
아기자기하다,10
잡무,10
든든하다,10
내놓다,10
데드라인,10
과중,10
존칭,10
치기,10
업다,10
따지다,10
배포,10
비지,10
최저임금,10
부담스럽다,10
그랜트,10
스피드,10
동생,10
도로,10
대만,10
권위,10
보유,10
제조업,10
시차,10
어깨,10
치안,10
과도기,10
늙다,10
이력서,10
극한,10
널널,10
세대,10
언플,10
소비자,10
어딘가,10
넘침,10
개별,10
갈림,10
거대하다,10
어설프다,10
영광,10
빠져나가다,10
구체,10
안나,10
채널,10
극심하다,10
인테리어,10
질서,10
평판,10
고용,10
포트,10
허들,10
활동,10
좌우,10
찍어내다,10
강력하다,10
욕구,10
개인플레이,10
문제점,10
율도,10
붙이다,10
역사,10
애정,10
구림,10
소비,10
살리다,10
온갖,10
갈구다,10
불합리,10
저렇다,10
다다르다,10
지역,10
꼬이다,10
데려오다,10
사무,10
찍히다,10
단순하다,10
포진,10
실망하다,10
치우다,10
엘리베이터,10
재택근무제,10
폭발,10
평생,10
못자다,10
직업,10
애초,10
헌신,10
주도하다,10
묵묵하다,10
각개,10
미루다,10
기한,10
자의,10
깨닫다,10
괴롭힘,10
꼬박꼬박,10
펼치다,10
사고방식,10
법카,10
온라인,10
미지,10
규칙,10
프로덕트,10
관점,10
학교,10
밥그릇,10
로간,10
접근,10
고여,10
유동,10
겉보기,10
박히다,10
중소,10
처럼,10
무방,10
쏟다,10
금액,10
어감,10
미흡,10
괴리감,10
보스,10
노하우,10
장단점,10
도감,10
열악하다,10
편의점,10
닿다,10
블라인드,10
컨펌,10
감정,9
누르다,9
기사,9
감사하다,9
충돌,9
단절,9
집착,9
신경안,9
하늘,9
연협,9
근비,9
도대체,9
저희,9
극명하다,9
클라우드,9
보존,9
친목,9
이보,9
마치,9
다비,9
쉬는시간,9
불균형,9
끼리끼리,9
우려,9
언급,9
선릉,9
슬슬,9
건의,9
출중하다,9
허리,9
이진,9
진취,9
가입,9
플레이,9
작년,9
오기,9
자신감,9
비젼,9
하이,9
바탕,9
부로,9
무겁다,9
먹듯,9
잡기,9
한해,9
괴롭히다,9
자하,9
파트장,9
활기차다,9
수명,9
노가다,9
멍청하다,9
검토,9
특출나다,9
자세하다,9
어중간하다,9
찾아가다,9
자도,9
빨르다,9
문과,9
튀다,9
미지수,9
만들어지다,9
의도,9
당황,9
나뉘다,9
인터넷,9
따윈,9
기일,9
일거리,9
불확실하다,9
명함,9
넘어서다,9
넓히다,9
정상,9
존경,9
분기,9
사건,9
측정,9
호불호,9
돌다,9
간접,9
깜깜,9
최상급,9
플젝,9
자연스럽다,9
일당백,9
고함,9
유통,9
자질,9
두서,9
동아리,9
파편,9
레이,9
로스,9
부인,9
길이,9
지겹다,9
출시,9
흐리다,9
오해,9
평등,9
대우받다,9
공존,9
불만족,9
간단하다,9
용이,9
한가지,9
꼼꼼하다,9
잡다하다,9
전적,9
단어,9
회피,9
빈약하다,9
글쎄요,9
수정,9
가보다,9
소문,9
시달리다,9
빈번,9
정규,9
뺏다,9
헤드,9
의장,9
없애다,9
뒷담화,9
아랫사람,9
오류,9
쓰이다,9
치면,9
비롯,9
극히,9
욕먹다,9
만연하다,9
부실하다,9
때리다,8
베네핏,8
밀도,8
억지로,8
탁월하다,8
폐쇄적,8
삼성,8
까다롭다,8
감동,8
과극,8
놀랍다,8
외로,8
업종,8
무수,8
가치관,8
발판,8
상실,8
위상,8
쉐어,8
차량,8
절대로,8
빡쎄,8
원천,8
전산,8
관리직,8
문의,8
화하다,8
디테,8
토스,8
조음,8
절약,8
택지,8
전망,8
둥글둥글하다,8
쓰레기,8
이득,8
음서,8
천지,8
급속도,8
무도,8
지나가다,8
두루,8
노동자,8
부자,8
홍보,8
뽑히다,8
보완,8
지하철역,8
시즌,8
따뜻하다,8
변질,8
겨울,8
사례,8
분사,8
시점,8
최적,8
놓치다,8
먹음,8
감당,8
예측,8
훌륭,8
그대,8
유쾌하다,8
조심하다,8
협박,8
불평,8
밤낮,8
비합리적,8
옵션,8
직도,8
배다,8
창구,8
드리븐,8
손바닥,8
기억,8
부일,8
상처,8
무척,8
장님,8
프레,8
동력,8
문화인,8
해먹,8
불안감,8
풍부하다,8
겨우,8
고집,8
년도,8
요일,8
묵적,8
부임,8
지기,8
불안정하다,8
단기,8
안전하다,8
전개,8
단합,8
퇴보하다,8
멘토,8
차등,8
중국인,8
일본어,8
페이퍼,8
꽂다,8
정성,8
계급,8
공산주의,8
서류,8
요인,8
전과,8
실리콘,8
호떡,8
방침,8
차리다,8
우형,8
구리,8
충분,8
괜춘,8
영웅,8
경험치,8
존나,8
충격,8
월등하다,8
물어,8
시안,8
안중,8
부하,8
고치다,8
스케쥴,8
속이다,8
헤딩,8
완성,8
팽배,8
망치다,8
자동,8
드러나다,8
동남아,8
폭탄,8
아시아,8
서든,8
어울리다,8
외치,8
주관,8
불가능하다,8
승차,8
평범하다,8
사유,8
